a	a
b	b
c	c
d	d
e	e
f	f
g	g
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p	p
q	q
r	r
s	s
t	t
u	u
v	v
w	w
x	x
y	y
z	z
a1	*啊
a1	*腌
a1	ㄚ
a1	吖
a1	阿
a2	嗄
a3	*阿
a4	*阿
a4	錒
a5	啊
ai1	*欸
ai1	ㄞ
ai1	哀
ai1	哎
ai1	唉
ai1	埃
ai1	挨
ai2	*堐
ai2	*崖
ai2	*挨
ai2	*獃
ai2	*磑
ai2	*隑
ai2	凒
ai2	厓
ai2	呆
ai2	啀
ai2	嘊
ai2	崕
ai2	捱
ai2	敱
ai2	敳
ai2	癌
ai2	皚
ai2	騃
ai3	*乃
ai3	*娾
ai3	*暟
ai3	*藒
ai3	佁
ai3	噯
ai3	昹
ai3	欸
ai3	毐
ai3	矮
ai3	藹
ai3	躷
ai3	靄
ai4	*壒
ai4	*阨
ai4	*餀
ai4	䅬
ai4	䔽
ai4	乂
ai4	伌
ai4	僾
ai4	嗌
ai4	噯
ai4	堨
ai4	塧
ai4	嬡
ai4	愛
ai4	懝
ai4	戹
ai4	曖
ai4	濭
ai4	璦
ai4	皧
ai4	瞹
ai4	砈
ai4	砨
ai4	硋
ai4	碍
ai4	礙
ai4	艾
ai4	薆
ai4	譪
ai4	賹
ai4	鑀
ai4	阸
ai4	隘
ai4	靉
ai4	餲
ai4	饚
ai4	馤
ai4	鴱
ai4	𣎴
ai5	*唉
an1	*闇
an1	*陰
an1	*鴳
an1	ㄢ
an1	侌
an1	侒
an1	厂
an1	厈
an1	垵
an1	媕
an1	嬜
an1	安
an1	峖
an1	庵
an1	氨
an1	痷
an1	盦
an1	盫
an1	胺
an1	腤
an1	菴
an1	萻
an1	葊
an1	蓭
an1	誝
an1	諳
an1	銨
an1	阥
an1	阴
an1	隂
an1	鞌
an1	鞍
an1	鵪
an1	鶕
an2	啽
an2	玵
an2	雸
an3	*匼
an3	*黤
an3	俺
an3	唵
an3	噾
an3	埯
an3	堷
an3	揞
an3	晻
an3	罯
an3	隌
an3	馣
an3	黭
an4	*晻
an4	*矸
an4	*諳
an4	䮗
an4	儑
an4	匎
an4	匼
an4	噾
an4	垾
an4	婩
an4	岸
an4	按
an4	暗
an4	案
an4	桉
an4	洝
an4	湆
an4	犴
an4	胺
an4	荌
an4	菴
an4	豻
an4	貋
an4	遃
an4	錌
an4	闇
an4	隌
an4	韽
an4	鮟
an4	黯
