ㄅ	ㄅ
ㄅㄚ	*岊
ㄅㄚ	*峇
ㄅㄚ	*葩
ㄅㄚ	*蚆
ㄅㄚ	㺩
ㄅㄚ	䰾
ㄅㄚ	䶕
ㄅㄚ	仈
ㄅㄚ	八
ㄅㄚ	叭
ㄅㄚ	吧
ㄅㄚ	哵
ㄅㄚ	岜
ㄅㄚ	巴
ㄅㄚ	扒
ㄅㄚ	捌
ㄅㄚ	朳
ㄅㄚ	玌
ㄅㄚ	疤
ㄅㄚ	笆
ㄅㄚ	粑
ㄅㄚ	羓
ㄅㄚ	舥
ㄅㄚ	芭
ㄅㄚ	豝
ㄅㄚ	釟
ㄅㄚˇ	把
ㄅㄚˇ	鈀
ㄅㄚˇ	靶
ㄅㄚˊ	*袚
ㄅㄚˊ	坺
ㄅㄚˊ	墢
ㄅㄚˊ	帗
ㄅㄚˊ	抜
ㄅㄚˊ	拔
ㄅㄚˊ	柭
ㄅㄚˊ	炦
ㄅㄚˊ	犮
ㄅㄚˊ	祓
ㄅㄚˊ	秡
ㄅㄚˊ	胈
ㄅㄚˊ	茇
ㄅㄚˊ	菝
ㄅㄚˊ	詙
ㄅㄚˊ	跋
ㄅㄚˊ	軷
ㄅㄚˊ	鈸
ㄅㄚˊ	颰
ㄅㄚˊ	魃
ㄅㄚˊ	鮁
ㄅㄚˊ	鼥
ㄅㄚˋ	*伯
ㄅㄚˋ	*把
ㄅㄚˋ	*跁
ㄅㄚˋ	䎱
ㄅㄚˋ	垻
ㄅㄚˋ	壩
ㄅㄚˋ	弝
ㄅㄚˋ	灞
ㄅㄚˋ	爸
ㄅㄚˋ	猈
ㄅㄚˋ	皅
ㄅㄚˋ	矲
ㄅㄚˋ	罢
ㄅㄚˋ	罷
ㄅㄚˋ	耙
ㄅㄚˋ	覇
ㄅㄚˋ	霸
ㄅㄚ˙	*巴
ㄅㄚ˙	*爸
ㄅㄚ˙	*罷
ㄅㄚ˙	吧
ㄅㄚ˙	杷
ㄅㄚ˙	欛
ㄅㄚ˙	琶
ㄅㄚ˙	罢
ㄅㄛ	*般
ㄅㄛ	㿺
ㄅㄛ	剝
ㄅㄛ	剥
ㄅㄛ	啵
ㄅㄛ	岥
ㄅㄛ	嶓
ㄅㄛ	撥
ㄅㄛ	播
ㄅㄛ	柭
ㄅㄛ	波
ㄅㄛ	玻
ㄅㄛ	癶
ㄅㄛ	盋
ㄅㄛ	砵
ㄅㄛ	碆
ㄅㄛ	紴
ㄅㄛ	缽
ㄅㄛ	肑
ㄅㄛ	菠
ㄅㄛ	袚
ㄅㄛ	襏
ㄅㄛ	蹳
ㄅㄛ	鉢
ㄅㄛ	餑
ㄅㄛ	驋
ㄅㄛ	鮁
ㄅㄛ	鱍
ㄅㄛˇ	簸
ㄅㄛˇ	蚾
ㄅㄛˇ	跛
ㄅㄛˊ	*悖
ㄅㄛˊ	*摶
ㄅㄛˊ	*洎
ㄅㄛˊ	*爆
ㄅㄛˊ	*白
ㄅㄛˊ	*百
ㄅㄛˊ	*簿
ㄅㄛˊ	*缽
ㄅㄛˊ	*菠
ㄅㄛˊ	*襏
ㄅㄛˊ	*貊
ㄅㄛˊ	*鈸
ㄅㄛˊ	*雹
ㄅㄛˊ	㩧
ㄅㄛˊ	㫲
ㄅㄛˊ	㶿
ㄅㄛˊ	㼎
ㄅㄛˊ	䗚
ㄅㄛˊ	䭯
ㄅㄛˊ	伯
ㄅㄛˊ	佰
ㄅㄛˊ	侼
ㄅㄛˊ	僰
ㄅㄛˊ	勃
ㄅㄛˊ	博
ㄅㄛˊ	叐
ㄅㄛˊ	妭
ㄅㄛˊ	孛
ㄅㄛˊ	帛
ㄅㄛˊ	愂
ㄅㄛˊ	愽
ㄅㄛˊ	懪
ㄅㄛˊ	挬
ㄅㄛˊ	搏
ㄅㄛˊ	敀
ㄅㄛˊ	柏
ㄅㄛˊ	栢
ㄅㄛˊ	桲
ㄅㄛˊ	欂
ㄅㄛˊ	泊
