# The data is from android open source project.
# http://android.git.kernel.org/?p=platform/packages/inputmethods/PinyinIME.git
a	a
b	b
c	c
d	d
e	e
f	f
g	g
h	h
i	i
j	j
k	k
l	l
m	m
n	n
o	o
p	p
q	q
r	r
s	s
t	t
u	u
v	v
w	w
x	x
y	y
z	z
ba	鼥
ba	釛
ba	軷
ba	釟
ba	蚆
ba	弝
ba	抜
ba	朳
ba	覇
ba	胈
ba	豝
ba	癹
ba	矲
ba	壩
ba	菝
ba	犮
ba	鲅
ba	仈
ba	罷
ba	魃
ba	岜
ba	茇
ba	笆
ba	钯
ba	粑
ba	耙
ba	跋
ba	灞
ba	叭
ba	捌
ba	靶
ba	疤
ba	芭
ba	扒
ba	坝
ba	霸
ba	罢
ba	拔
ba	巴
ba	爸
ba	八
ba	把
ba	吧
bai	竡
bai	拝
bai	擘
bai	粨
bai	栢
bai	粺
bai	捭
bai	擺
bai	敗
bai	稗
bai	挀
bai	伯
bai	佰
bai	呗
bai	掰
bai	柏
bai	败
bai	拜
bai	摆
bai	百
bai	白
ban	斒
ban	魬
ban	螁
ban	靽
ban	鉡
ban	怑
ban	鈑
ban	昄
ban	姅
ban	柈
ban	蝂
ban	絆
ban	舨
ban	頒
ban	粄
ban	湴
ban	闆
ban	癍
ban	攽
ban	瘢
ban	钣
ban	辦
ban	阪
ban	坂
ban	颁
ban	扳
ban	绊
ban	瓣
ban	拌
ban	扮
ban	斑
ban	伴
ban	搬
ban	般
ban	板
ban	班
ban	半
ban	版
ban	办
bang	峀
bang	艕
bang	玤
bang	縍
bang	搒
bang	鎊
bang	鞤
bang	塝
bang	謗
bang	蒡
bang	旁
bang	綁
bang	垹
bang	幇
bang	梆
bang	幫
bang	膀
bang	谤
bang	蚌
bang	镑
bang	傍
bang	磅
bang	绑
bang	浜
bang	邦
bang	榜
bang	棒
bang	帮
bao	飹
bao	忁
bao	髱
bao	鳵
bao	駂
bao	靤
bao	怉
bao	齙
bao	炮
bao	虣
bao	鴇
bao	鑤
bao	媬
bao	珤
bao	蕔
bao	窇
bao	笣
bao	趵
bao	瀑
bao	褓
bao	儤
bao	鮑
bao	龅
bao	鸨
bao	剥
bao	飽
bao	刨
bao	寳
bao	菢
bao	報
bao	雹
bao	勹
bao	寶
bao	孢
bao	宀
bao	葆
bao	褒
bao	苞
bao	曝
bao	胞
bao	豹
bao	煲
bao	鲍
bao	堡
bao	薄
bao	饱
bao	暴
bao	爆
bao	保
bao	抱
bao	宝
